CD56_RS022,Campylobacter_lari_GCF_001017575.1
B1780_RS00,Campylobacter_jejuni_subsp._jejuni_GCF_003999645.1
BLD43_RS06,Campylobacter_coli_GCF_001865535.1
BN865_RS00,Campylobacter_coli_76339_GCF_000470055.1
YSQ_RS0014,Campylobacter_coli_RM1875_GCF_000583755.1
CHELV3228,Campylobacter_helveticus_GCF_002080395.1
A0073_RS00,Campylobacter_helveticus_GCF_004345065.1
EL158_RS00,Campylobacter_upsaliensis_GCF_900637395.1
CAV_RS0687,Campylobacter_avium_LMG_24591_GCF_002238335.1
CCUN_RS026,Campylobacter_cuniculorum_DSM_23162_=_LMG_24588_GCF_002104335.1
CFV354_RS0,Campylobacter_fetus_subsp._venerealis_NCTC_10354_GCF_000222425.1
DQN38_RS00,Campylobacter_fetus_subsp._fetus_GCF_900475935.1
CFF04554_R,Campylobacter_fetus_subsp._fetus_04/554_GCF_000759485.1
CFF8240_RS,Campylobacter_fetus_subsp._fetus_82-40_GCF_000015085.1
CFVI03293,Campylobacter_fetus_subsp._venerealis_cfvi03/293_GCF_000512745.2
CFV97608_R,Campylobacter_fetus_subsp._venerealis_97/608_GCF_000759515.1
CSG_RS0077,Campylobacter_fetus_subsp._venerealis_str._84-112_GCF_000967135.1
CFVI01165,Campylobacter_fetus_subsp._venerealis_GCF_001686885.1
C6B32_RS00,Campylobacter_fetus_subsp._testudinum_GCF_002973655.1
CR44_RS007,Campylobacter_fetus_subsp._testudinum_GCF_000814265.1
CFTSP3_RS0,Campylobacter_fetus_subsp._testudinum_Sp3_GCF_001484645.1
CHH_RS0078,Campylobacter_hyointestinalis_subsp._hyointestinalis_LMG_9260_GCF_001643955.1
FFA43_RS00,Campylobacter_hyointestinalis_subsp._hyointestinalis_GCF_005844045.1
CIG1485E_R,Campylobacter_iguaniorum_GCF_000736415.1
CIG2463D_R,Campylobacter_iguaniorum_GCF_001483985.1
CIG11343_R,Campylobacter_iguaniorum_GCF_001643995.1
CVIC12175,Campylobacter_sp._RM12175_GCF_002139875.1
CVIC8964_R,Campylobacter_sp._RM8964_GCF_002139895.1
CSUIS_RS01,Campylobacter_sp._RM6137_GCF_002139855.1
CIGN_RS004,Campylobacter_sp._NCTC_13003_GCF_002139915.1
CLAN_RS016,Campylobacter_lanienae_NCTC_13004_GCF_002139935.1
CHL_RS0595,Campylobacter_hyointestinalis_subsp._lawsonii_GCF_001643975.1
CUREO_RS02,Campylobacter_ureolyticus_RIGS_9880_GCF_001190755.1
CSF_RS0302,Campylobacter_sputorum_bv._faecalis_CCUG_20703_GCF_002220735.1
CSPUT_RS02,Campylobacter_sputorum_bv._sputorum_RM3237_GCF_002220795.1
CSPARA_RS0,Campylobacter_sputorum_bv._paraureolyticus_LMG_11764_GCF_002220755.1
CSPB_RS029,Campylobacter_sputorum_GCF_002220775.1
CGRAC_RS02,Campylobacter_gracilis_GCF_001190745.1
CHAB381_RS,Campylobacter_hominis_ATCC_BAA-381_GCF_000017585.1
CPIN17261,Campylobacter_pinnipediorum_subsp._pinnipediorum_GCF_002021945.1
CPIN18021,Campylobacter_pinnipediorum_subsp._caledonicus_GCF_002022005.1
CPIN18020,Campylobacter_pinnipediorum_subsp._caledonicus_GCF_002021985.1
CPIN17262,Campylobacter_pinnipediorum_subsp._pinnipediorum_GCF_002021965.1
CPIN17260,Campylobacter_pinnipediorum_subsp._pinnipediorum_GCF_002021925.1
CCON33237,Campylobacter_concisus_GCF_001298465.1
CCC13826_R,Campylobacter_concisus_13826_GCF_000017725.2
CCS77_RS03,Campylobacter_concisus_GCF_003048375.1
E4V70_RS06,Campylobacter_showae_GCF_900699785.1
CCV52592_R,Campylobacter_curvus_525.92_GCF_000017465.2
SMUL_RS116,Sulfurospirillum_multivorans_DSM_12446_GCF_000568815.1
SHALO_RS10,Sulfurospirillum_halorespirans_DSM_13726_GCF_001723605.1
Sdiek1_RS1,Sulfurospirillum_sp._SL2-1_GCF_002162315.1
Sdiek2_RS1,Sulfurospirillum_sp._SL2-2_GCF_002205395.1
SJPD1_RS10,Sulfurospirillum_sp._JPD-1_GCF_002309535.1
UCH001_RS0,Sulfurospirillum_sp._UCH001_GCF_001548035.1
SULBA_RS08,Sulfurospirillum_barnesii_SES-3_GCF_000265295.1
SDEL_RS084,Sulfurospirillum_deleyianum_DSM_6946_GCF_000024885.1
UCH003_RS0,Sulfurospirillum_cavolei_GCF_001548055.1
AHALO_RS00,Arcobacter_halophilus_GCF_003346755.1
AMRN_RS008,Arcobacter_marinus_GCF_003544855.1
AMOL_RS007,Arcobacter_molluscorum_LMG_25693_GCF_003544935.1
APAC_RS086,Arcobacter_pacificus_GCF_004214795.1
ARNIT_RS01,Arcobacter_nitrofigilis_DSM_7299_GCF_000092245.1
AELL_RS048,Arcobacter_ellisii_GCF_003544915.1
ABLL_RS054,Arcobacter_sp._L_GCF_000284235.1
ASUIS_RS08,Arcobacter_suis_CECT_7833_GCF_003544815.1
LPB137_RS0,Arcobacter_sp._LPB0137_GCF_001956695.1
D3Z07_RS00,Arcobacter_sp._PSE-93_GCF_003711085.1
ATR_RS0269,Arcobacter_trophiarum_LMG_25534_GCF_003355515.1
ASKIR_RS04,Arcobacter_skirrowii_CCUG_10374_GCF_003544835.1
EI285_RS04,Arcobacter_skirrowii_GCF_003939045.1
ACRYD_RS00,Arcobacter_cryaerophilus_D2610_GCF_003660085.1
ACRYA_RS00,Arcobacter_cryaerophilus_ATCC_43158_GCF_003660105.1
ATH_RS0236,Arcobacter_thereius_LMG_24486_GCF_004214815.1
APORC_RS02,[Arcobacter]_porcinus_GCF_004299785.1
ABU_RS0421,Arcobacter_butzleri_RM4018_GCF_000014025.1
A7H1H_RS04,Arcobacter_butzleri_7h1h_GCF_000215345.2
CKV87_RS04,Arcobacter_butzleri_GCF_900187115.1
ABED_RS039,Arcobacter_butzleri_ED-1_GCF_000284355.1
FFA29_RS04,Arcobacter_butzleri_JV22_GCF_005886055.1
AMYT_RS008,Arcobacter_mytili_LMG_24559_GCF_003346775.1
ABIV_RS017,Arcobacter_bivalviorum_GCF_003346815.1
CDV25_RS04,Helicobacter_apodemus_GCF_003097575.1
EL247_RS00,Helicobacter_pullorum_GCF_900638355.1
HCAN_RS014,Helicobacter_canadensis_MIT_98-5491_GCF_000162575.1
DOM81_RS00,Helicobacter_cinaedi_GCF_003214155.2
HCBAA847_R,Helicobacter_cinaedi_CCUG_18818_=_ATCC_BAA-847_GCF_000349975.1
HCN_RS0071,Helicobacter_cinaedi_PAGU611_GCF_000284635.1
DOM78_RS00,Helicobacter_cinaedi_GCF_003213825.2
HC081234_R,Helicobacter_cinaedi_GCF_003574195.1
DOM77_RS00,Helicobacter_cinaedi_GCF_003213725.2
C6B36_RS00,Helicobacter_cinaedi_GCF_003130625.1
XJ32_RS052,Helicobacter_bilis_GCF_001999985.1
BN2458_RS0,Helicobacter_typhlonius_GCF_001460635.1
HH_RS04845,Helicobacter_hepaticus_ATCC_51449_GCF_000007905.1
DQN48_RS00,Helicobacter_mustelae_GCF_900476215.1
HMU_RS0054,Helicobacter_mustelae_12198_GCF_000091985.1
BBW65_RS02,Helicobacter_sp._MIT_01-6242_GCF_001693335.1
EL253_RS03,Helicobacter_cholecystus_GCF_900638485.1
DCO58_RS07,Helicobacter_saguini_GCF_003546705.1
A3217_RS00,Helicobacter_himalayensis_GCF_001602095.1
C6H27_RS00,Helicobacter_acinonychis_GCF_900198455.1
HAC_RS0080,Helicobacter_acinonychis_str._Sheeba_GCF_000009305.1
EHU52_RS00,Helicobacter_pylori_GCF_003855475.1
EE66_RS010,Helicobacter_pylori_GCF_001653395.1
HPML_RS011,Helicobacter_pylori_GCF_001549875.1
KHP_RS0552,Helicobacter_pylori_51_GCF_000011725.1
HMPREF4655,Helicobacter_pylori_35A_GCF_000178935.2
EL264_RS06,Helicobacter_pylori_GCF_900638505.1
CPY93_RS00,Helicobacter_pylori_GCF_002357515.1
HPF30_RS01,Helicobacter_pylori_F30_GCF_000270025.1
CS887_RS05,Helicobacter_pylori_GCF_900119995.1
CEP79_RS01,Helicobacter_pylori_GCF_002983705.1
CS888_RS05,Helicobacter_pylori_GCF_900120225.1
CS894_RS05,Helicobacter_pylori_GCF_900120255.1
CS897_RS05,Helicobacter_pylori_GCF_900120135.1
CS885_RS02,Helicobacter_pylori_GCF_900176185.1
CS883_RS05,Helicobacter_pylori_GCF_900120185.1
CS896_RS05,Helicobacter_pylori_GCF_900119955.1
CS892_RS05,Helicobacter_pylori_GCF_900120315.1
CS893_RS05,Helicobacter_pylori_GCF_900120055.1
CS886_RS05,Helicobacter_pylori_GCF_900120275.1
CS890_RS05,Helicobacter_pylori_GCF_900120205.1
CS889_RS05,Helicobacter_pylori_GCF_900120335.1
JHP_RS0558,Helicobacter_pylori_J99_GCF_000008785.1
HP2017_RS0,Helicobacter_pylori_2017_GCF_000192315.1
NY40_RS006,Helicobacter_pylori_NY40_GCF_000828955.1
HP908_RS05,Helicobacter_pylori_908_GCF_000148665.1
HP2018_RS0,Helicobacter_pylori_2018_GCF_000192335.1
HPGAM_RS05,Helicobacter_pylori_Gambia94/24_GCF_000185205.1
HPSA20_RS0,Helicobacter_pylori_SouthAfrica20_GCF_000590775.1
AA977_RS07,Helicobacter_pylori_GCF_001653455.1
HPSA_RS053,Helicobacter_pylori_SouthAfrica7_GCF_000185245.1
HPPC18_RS0,Helicobacter_pylori_PeCan18_GCF_000277425.1
HPELS_RS05,Helicobacter_pylori_ELS37_GCF_000255955.1
HCW_RS0172,Helicobacter_cetorum_MIT_00-7128_GCF_000259255.1
HCD_RS0077,Helicobacter_cetorum_MIT_99-5656_GCF_000259275.1
BN341_RS05,Helicobacter_heilmannii_ASB1.4_GCF_000319205.1
HBZC1_RS00,Helicobacter_bizzozeronii_CIII-1_GCF_000237285.1
HFELIS_RS0,Helicobacter_felis_ATCC_49179_GCF_000200595.1
DCO59_RS04,Helicobacter_saguini_GCF_003546745.1
DCO61_RS10,Helicobacter_saguini_GCF_003546725.1
DCO60_RS08,Helicobacter_saguini_GCF_003546685.1
EL168_RS01,Wolinella_succinogenes_GCF_900637325.1
WS_RS00655,Wolinella_succinogenes_DSM_1740_GCF_000196135.1
SULKU_RS03,Sulfuricurvum_kujiense_DSM_16994_GCF_000183725.1
B649_r1191,Candidatus_Sulfuricurvum_sp._RIFRC-1_GCA_000310245.1
SMGD1_RS03,Sulfurimonas_gotlandica_GD1_GCF_000242915.1
SUDEN_RS02,Sulfurimonas_denitrificans_DSM_1251_GCF_000012965.1
SAUT_RS036,Sulfurimonas_autotrophica_DSM_16294_GCF_000147355.1
SUN_RS0020,Sulfurovum_sp._NBC37-1_GCF_000010345.1
YH65_00205,Sulfurovum_lithotrophicum_GCA_000987835.1
NITSA_RS08,Nitratifractor_salsuginis_DSM_16511_GCF_000186245.1
C3L23_RS00,Nautilia_profundicola_GCF_004006315.1
NAMH_RS007,Nautilia_profundicola_AmH_GCF_000021725.1
C6V80_RS00,Cetia_pacifica_GCF_005083985.1
FE773_RS00,Caminibacter_mediatlanticus_TB-2_GCF_005843985.1
NIS_RS0215,Nitratiruptor_sp._SB155-2_GCF_000010325.1
