saccver	subject_gcf	organism_name	infraspecific_name	taxid	species_taxid
WP_096523133.1	GCF_002357555.1	Helicobacter pylori	strain=F211	210	210
WP_096523133.1	GCF_002357435.1	Helicobacter pylori	strain=F13	210	210
WP_000931022.1	GCF_000023805.1	Helicobacter pylori 52	strain=52	684950	210
WP_096532934.1	GCF_002357855.1	Helicobacter pylori	strain=MKM6	210	210
WP_064433966.1	GCF_001653475.1	Helicobacter pylori	strain=PNG84A	210	210
WP_096424349.1	GCF_002357675.1	Helicobacter pylori	strain=F70	210	210
WP_000931047.1	GCF_000259235.1	Helicobacter pylori HUP-B14	strain=HUP-B14	1163743	210
WP_077232511.1	GCF_004295545.1	Helicobacter pylori	strain=PMSS1	210	210
WP_077232511.1	GCF_001991095.1	Helicobacter pylori PMSS1	strain=PMSS1	1431450	210
WP_077232511.1	GCF_002005525.1	Helicobacter pylori SS1	strain=SS1	102617	210
WP_096469549.1	GCF_002357735.1	Helicobacter pylori	strain=F90	210	210
WP_096529368.1	GCF_002357355.1	Helicobacter pylori	strain=F38	210	210
WP_128479220.1	GCF_004088075.1	Helicobacter pylori	strain=Hpbs3	210	210
WP_096392707.1	GCF_002357595.1	Helicobacter pylori	strain=F23	210	210
WP_015429490.1	GCF_000348885.1	Helicobacter pylori OK310	strain=OK310	1248726	210
WP_064431436.1	GCF_001653395.1	Helicobacter pylori	strain=DU15	210	210
WP_014659388.1	GCF_000259275.1	Helicobacter cetorum MIT 99-5656	strain=MIT 99-5656	1163745	138563
WP_039704962.1	GCF_000817025.1	Helicobacter pylori	strain=Hp238	210	210
WP_000931098.1	GCF_000196755.1	Helicobacter pylori B8	strain=B8	693745	210
WP_000931098.1	GCF_002952455.1	Helicobacter pylori	strain=7.13_D3a	210	210
WP_000931098.1	GCF_002952475.1	Helicobacter pylori	strain=7.13_D3b	210	210
WP_000931098.1	GCF_002952495.1	Helicobacter pylori		210	210
WP_000931098.1	GCF_002952515.1	Helicobacter pylori	strain=7.13_R3c	210	210
WP_000931098.1	GCF_002952535.1	Helicobacter pylori	strain=7.13_R3b	210	210
WP_000931098.1	GCF_002952555.1	Helicobacter pylori	strain=7.13_R2c	210	210
WP_000931098.1	GCF_002952595.1	Helicobacter pylori	strain=7.13_R1c	210	210
WP_000931098.1	GCF_002952615.1	Helicobacter pylori	strain=7.13_R3a	210	210
WP_000931098.1	GCF_002952635.1	Helicobacter pylori	strain=7.13_R2b	210	210
WP_000931098.1	GCF_002952655.1	Helicobacter pylori	strain=7.13_R1b	210	210
WP_000931098.1	GCF_002952675.1	Helicobacter pylori	strain=7.13_R1a	210	210
WP_000931098.1	GCF_002951975.1	Helicobacter pylori	strain=B128_1	210	210
WP_000931098.1	GCF_002952195.1	Helicobacter pylori	strain=B128_3	210	210
WP_000931098.1	GCF_002952275.1	Helicobacter pylori	strain=7.13_1	210	210
WP_000931098.1	GCF_002952575.1	Helicobacter pylori	strain=7.13_R2a	210	210
WP_000931098.1	GCF_002952395.1	Helicobacter pylori	strain=7.13_D2a	210	210
WP_000931098.1	GCF_002952415.1	Helicobacter pylori	strain=7.13_D2b	210	210
WP_000931098.1	GCF_002952435.1	Helicobacter pylori	strain=7.13_D2c	210	210
WP_000931098.1	GCF_002952175.1	Helicobacter pylori	strain=B128_2	210	210
WP_000931098.1	GCF_002952355.1	Helicobacter pylori	strain=7.13_D1b	210	210
WP_000931036.1	GCF_000185225.1	Helicobacter pylori Lithuania75	strain=Lithuania75	907237	210
WP_000931098.1	GCF_002952255.1	Helicobacter pylori	strain=7.13_2	210	210
WP_000931098.1	GCF_002952235.1	Helicobacter pylori	strain=7.13_3	210	210
WP_096470504.1	GCF_002357835.1	Helicobacter pylori	strain=MKM1	210	210
WP_060871344.1	GCF_001549875.1	Helicobacter pylori	strain=ML3	210	210
WP_089482148.1	GCF_002222575.1	Helicobacter pylori	strain=G272	210	210
WP_000931011.1	GCF_000213135.1	Helicobacter pylori 83	strain=83	585538	210
WP_025366615.1	GCF_000600165.1	Helicobacter pylori oki422	strain=oki422	1382924	210
WP_096468626.1	GCF_002357635.1	Helicobacter pylori	strain=F55	210	210
WP_000931041.1	GCF_000013245.1	Helicobacter pylori HPAG1	strain=HPAG1	357544	210
WP_096528620.1	GCF_002357335.1	Helicobacter pylori	strain=F28	210	210
WP_000930999.1	GCF_000178935.2	Helicobacter pylori 35A	strain=35A	585535	210
WP_025288553.1	GCF_000600125.1	Helicobacter pylori oki128	strain=oki128	1382922	210
WP_015643606.1	GCF_000392515.3	Helicobacter pylori UM037	strain=UM037	1321939	210
WP_015642250.1	GCF_000392535.3	Helicobacter pylori UM066	strain=UM066	1321940	210
WP_025367074.1	GCF_000600145.1	Helicobacter pylori oki154	strain=oki154	1382923	210
WP_025223310.1	GCF_000600205.1	Helicobacter pylori oki828	strain=oki828	1382926	210
WP_025223310.1	GCF_000600185.1	Helicobacter pylori oki673	strain=oki673	1382925	210
WP_096401098.1	GCF_002357815.1	Helicobacter pylori	strain=MKF8	210	210
WP_096465583.1	GCF_002357615.1	Helicobacter pylori	strain=F24	210	210
WP_096479199.1	GCF_002356595.1	Helicobacter pylori	strain=HPJP26	210	210
WP_096483533.1	GCF_002357495.1	Helicobacter pylori	strain=F209	210	210
WP_000931074.1	GCF_000185205.1	Helicobacter pylori Gambia94/24	strain=Gambia94/24	907240	210
WP_060475168.1	GCF_001433495.1	Helicobacter pylori	strain=29CaP	210	210
WP_025310042.1	GCF_000600085.1	Helicobacter pylori oki112	strain=oki112	1382921	210
WP_000931013.1	GCF_000224535.1	Helicobacter pylori Puno120	strain=Puno120	1055528	210
WP_000931072.1	GCF_000008785.1	Helicobacter pylori J99	strain=J99	85963	210
WP_000931072.1	GCF_002983705.1	Helicobacter pylori	strain=FDAARGOS_300	210	210
WP_000931072.1	GCF_000982695.1	Helicobacter pylori J99	strain=J99	85963	210
WP_000931046.1	GCF_000021165.1	Helicobacter pylori G27	strain=G27	563041	210
WP_120879393.1	GCF_003640585.1	Helicobacter pylori	strain=GD63	210	210
WP_025276436.1	GCF_000600045.1	Helicobacter pylori oki102	strain=oki102	1382920	210
WP_096420450.1	GCF_002357575.1	Helicobacter pylori	strain=F21	210	210
WP_000930993.1	GCF_000270025.1	Helicobacter pylori F30	strain=F30	866345	210
WP_121053972.1	GCF_003636855.2	Helicobacter pylori	strain=HP14039	210	210
WP_128480897.1	GCF_004088155.1	Helicobacter pylori	strain=Hpbs2	210	210
WP_096521387.1	GCF_002357315.1	Helicobacter pylori	strain=MKM5	210	210
WP_096532064.1	GCF_002357755.1	Helicobacter pylori	strain=F94	210	210
WP_096525001.1	GCF_002357535.1	Helicobacter pylori	strain=F210	210	210
WP_015428364.1	GCF_000348865.1	Helicobacter pylori OK113	strain=OK113	1248725	210
WP_025277184.1	GCF_000600225.1	Helicobacter pylori oki898	strain=oki898	1382927	210
WP_064436972.1	GCF_001653415.1	Helicobacter pylori	strain=CC33C	210	210
WP_096522347.1	GCF_002357415.1	Helicobacter pylori	strain=F78	210	210
WP_096425308.1	GCF_002357775.1	Helicobacter pylori	strain=MKF10	210	210
WP_000930995.1	GCF_000270045.1	Helicobacter pylori F32	strain=F32	102608	210
WP_096398938.1	GCF_002357795.1	Helicobacter pylori	strain=MKF3	210	210
WP_015086599.1	GCF_000317875.1	Helicobacter pylori Aklavik86	strain=Aklavik86	1055532	210
WP_096397303.1	GCF_002357715.1	Helicobacter pylori	strain=F75	210	210
WP_096417703.1	GCF_002357475.1	Helicobacter pylori	strain=F18	210	210
WP_108169441.1	GCF_003050665.1	Helicobacter pylori	strain=FDAARGOS_298	210	210
WP_108169441.1	GCF_900478295.1	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504	strain=NCTC 11637	102618	210
WP_108169441.1	GCF_004295525.1	Helicobacter pylori	strain=ATCC 43504	210	210
WP_041050105.1	GCF_000828955.1	Helicobacter pylori NY40	strain=NY40	1426844	210
WP_000931061.1	GCF_000148665.1	Helicobacter pylori 908	strain=908	869727	210
WP_000931021.1	GCF_000011725.1	Helicobacter pylori 51	strain=51	290847	210
WP_015086373.1	GCF_000315955.1	Helicobacter pylori Aklavik117	strain=Aklavik117	1055531	210
WP_000931032.1	GCF_000185185.1	Helicobacter pylori India7	strain=India7	907238	210
WP_023592623.1	GCF_000498315.1	Helicobacter pylori BM012A	strain=BM012A	1407462	210
WP_023592623.1	GCF_000498335.1	Helicobacter pylori BM012S	strain=BM012S	1407463	210
WP_000931060.1	GCF_000192335.1	Helicobacter pylori 2018	strain=2018	985080	210
WP_000931060.1	GCF_000192315.1	Helicobacter pylori 2017	strain=2017	985081	210
WP_000931017.1	GCF_000270065.1	Helicobacter pylori F57	strain=F57	866346	210
WP_015645742.1	GCF_000392455.3	Helicobacter pylori UM032	strain=UM032	1311573	210
WP_015645742.1	GCF_000392475.3	Helicobacter pylori UM299	strain=UM299	1321938	210
WP_015645742.1	GCF_000439295.2	Helicobacter pylori UM298	strain=UM298	1321941	210
WP_000930990.1	GCF_000224575.1	Helicobacter pylori SNT49	strain=Santal49	1055530	210
WP_096396117.1	GCF_002357695.1	Helicobacter pylori	strain=F72	210	210
WP_000931007.1	GCF_000277385.1	Helicobacter pylori Shi169	strain=Shi169	1163741	210
WP_038420250.1	GCF_000685705.1	Helicobacter pylori	strain=BM012B	210	210
WP_096524032.1	GCF_002357515.1	Helicobacter pylori	strain=F20	210	210
WP_124732759.1	GCF_003855475.1	Helicobacter pylori	strain=Hpbs1	210	210
WP_000931001.1	GCF_000093185.1	Helicobacter pylori v225d	strain=v225d	637913	210
WP_096413580.1	GCF_002357375.1	Helicobacter pylori	strain=F63	210	210
WP_096531415.1	GCF_002357655.1	Helicobacter pylori	strain=F67	210	210
WP_038418184.1	GCF_000685665.1	Helicobacter pylori	strain=BM013A	210	210
WP_038418184.1	GCF_000685745.1	Helicobacter pylori	strain=BM013B	210	210
WP_089087241.1	GCF_900120135.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900149805.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900119955.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120185.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120205.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120275.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120315.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120335.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900176185.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120055.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900119995.1	Helicobacter pylori		210	210
WP_089087241.1	GCF_900120225.1	Helicobacter pylori		210	210
WP_096530184.1	GCF_002357455.1	Helicobacter pylori	strain=F17	210	210
WP_000931076.1	GCF_000255955.1	Helicobacter pylori ELS37	strain=ELS37	1055527	210
WP_015106949.1	GCF_000319205.1	Helicobacter heilmannii ASB1.4	strain=type strain:ASB1.4	1216962	35817
WP_126130701.1	GCF_003957395.1	Helicobacter pylori	strain=H-137	210	210
WP_064432673.1	GCF_001653375.1	Helicobacter pylori	strain=L7	210	210
WP_000931065.1	GCF_000277425.1	Helicobacter pylori PeCan18	strain=PeCan18	1163742	210
WP_000931009.1	GCF_000148915.1	Helicobacter pylori Sat464	strain=Sat464	794851	210
WP_000930996.1	GCF_000020245.1	Helicobacter pylori Shi470	strain=Shi470	512562	210
WP_000931023.1	GCF_000224555.1	Helicobacter pylori Puno135	strain=Puno135	1055529	210
WP_000931002.1	GCF_000270005.1	Helicobacter pylori F16	strain=F16	866344	210
WP_122892220.1	GCF_003711165.1	Helicobacter pylori	strain=Hp_TH2099	210	210
WP_000931077.1	GCF_000148855.1	Helicobacter pylori SJM180	strain=SJM180	765962	210
WP_000931008.1	GCF_000277405.1	Helicobacter pylori Shi112	strain=Shi112	1163740	210
WP_064438136.1	GCF_001653435.1	Helicobacter pylori	strain=ausabrJ05	210	210
WP_060473689.1	GCF_001433515.1	Helicobacter pylori	strain=7C	210	210
WP_000931010.1	GCF_000148875.1	Helicobacter pylori PeCan4	strain=PeCan4	765963	210
WP_000930997.1	GCF_000277365.1	Helicobacter pylori Shi417	strain=Shi417	1163739	210
WP_000931014.1	GCF_000148895.1	Helicobacter pylori Cuz20	strain=Cuz20	765964	210
WP_126473791.1	GCF_900638505.1	Helicobacter pylori	strain=NCTC12823	210	210
WP_000931108.1	GCF_000091345.1	Helicobacter pylori B38	strain=B38	592205	210
WP_118977156.1	GCF_003546685.1	Helicobacter saguini	strain=15-1458 (F3)	1548018	1548018
WP_034572764.1	GCF_003546705.1	Helicobacter saguini	strain=97-6194-5 (F0)	1548018	1548018
WP_118962154.1	GCF_003546745.1	Helicobacter saguini	strain=15-1416 (F2)	1548018	1548018
WP_118949183.1	GCF_003546725.1	Helicobacter saguini	strain=16-048 (F4)	1548018	1548018
WP_077390310.1	GCF_001999985.1	Helicobacter bilis	strain=AAQJH	37372	37372
WP_013022629.1	GCF_000091985.1	Helicobacter mustelae 12198	strain=12198	679897	217
WP_013022629.1	GCF_900476215.1	Helicobacter mustelae	strain=NCTC12198	217	217
WP_066341306.1	GCF_001693335.1	Helicobacter sp. MIT 01-6242	strain=MIT 01-6242	222136	222136
WP_104723904.1	GCF_900638485.1	Helicobacter cholecystus	strain=NCTC13205	45498	45498
WP_066387368.1	GCF_001602095.1	Helicobacter himalayensis	strain=YS1	1591088	1591088
WP_104745314.1	GCF_900638355.1	Helicobacter pullorum	strain=NCTC13154	35818	35818
WP_108910322.1	GCF_003097575.1	Helicobacter apodemus	strain=SCJK1	135569	135569
WP_127679202.1	GCF_004006315.1	Nautilia profundicola	strain=PV-1	244787	244787
WP_012663925.1	GCF_000021725.1	Nautilia profundicola AmH	strain=AmH	598659	244787
WP_138322735.1	GCF_005843985.1	Caminibacter mediatlanticus TB-2	strain=TB-2	391592	291048
WP_123353197.1	GCF_005083985.1	Cetia pacifica	strain=TB6	1424653	1424653
WP_011116331.1	GCF_000007905.1	Helicobacter hepaticus ATCC 51449	strain=ATCC 51449	235279	32025
WP_006656328.1	GCF_000162575.1	Helicobacter canadensis MIT 98-5491	strain=MIT 98-5491	537970	123841
WP_014666541.1	GCF_000284635.1	Helicobacter cinaedi PAGU611	strain=PAGU611	1172562	213
WP_015453586.1	GCF_000349975.1	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	strain=ATCC BAA-847	537971	213
WP_110505685.1	GCF_003213825.2	Helicobacter cinaedi	strain=P03D0629	213	213
WP_110505685.1	GCF_003574195.1	Helicobacter cinaedi	strain=MRY08-1234	213	213
WP_110505685.1	GCF_003214155.2	Helicobacter cinaedi	strain=P06D0798	213	213
WP_104717323.1	GCF_003213725.2	Helicobacter cinaedi	strain=P01D0000	213	213
WP_104717323.1	GCF_003130625.1	Helicobacter cinaedi		213	213
WP_034328139.1	GCF_001460635.1	Helicobacter typhlonius		76936	76936
WP_013460747.1	GCF_000183725.1	Sulfuricurvum kujiense DSM 16994	strain=DSM 16994	709032	148813
AFV98122.1	GCA_000310245.1	Candidatus Sulfuricurvum sp. RIFRC-1		1249480	1249480
WP_013327526.1	GCF_000147355.1	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	563040	202747
WP_011138779.1	GCF_000196135.1	Wolinella succinogenes DSM 1740	strain=DSMZ 1740	273121	844
WP_011138779.1	GCF_900637325.1	Wolinella succinogenes	strain=NCTC11488	844	844
EHP30369.1	GCA_000242915.2	Sulfurimonas gotlandica GD1	strain=GD1	929558	1176482
WP_008335248.1	GCF_000242915.1	Sulfurimonas gotlandica GD1	strain=GD1	929558	1176482
BBG65094.1	GCA_003945285.1	Hydrogenimonas sp.		2231112	2231112
WP_011373286.1	GCF_000012965.1	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	326298	39766
WP_089192773.1	GCF_002220775.1	Campylobacter sputorum	strain=RM8705	206	206
WP_089181875.1	GCF_002220795.1	Campylobacter sputorum bv. sputorum RM3237	strain=RM3237	1031754	206
WP_089188922.1	GCF_002220755.1	Campylobacter sputorum bv. paraureolyticus LMG 11764	strain=LMG 17589	1032066	206
WP_089187718.1	GCF_002220735.1	Campylobacter sputorum bv. faecalis CCUG 20703	strain=CCUG 20703	1031920	206
WP_078424145.1	GCF_002022005.1	Campylobacter pinnipediorum subsp. caledonicus	strain=RM18021	1874362	1965231
WP_078422687.1	GCF_002021985.1	Campylobacter pinnipediorum subsp. caledonicus	strain=RM18020	1874362	1965231
WP_025345541.1	GCF_000568815.1	Sulfurospirillum multivorans DSM 12446	strain=DSM 12446	1150621	66821
WP_107916365.1	GCF_003048375.1	Campylobacter concisus	strain=P2CDO4	199	199
WP_078440396.1	GCF_002021925.1	Campylobacter pinnipediorum subsp. pinnipediorum	strain=RM17260	1660067	1965231
WP_012857522.1	GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946	strain=DSM 6946	525898	65553
WP_078405782.1	GCF_002021965.1	Campylobacter pinnipediorum subsp. pinnipediorum	strain=RM17262	1660067	1965231
WP_069637047.1	GCF_002021945.1	Campylobacter pinnipediorum subsp. pinnipediorum	strain=RM17261	1660067	1965231
WP_060825416.1	GCF_001548055.1	Sulfurospirillum cavolei	strain=UCH003	366522	366522
WP_087439188.1	GCF_002205395.1	Sulfurospirillum sp. SL2-2	strain=SL2-2	2013514	2013514
WP_087439188.1	GCF_002162315.1	Sulfurospirillum sp. SL2-1	strain=SL2-1	1986224	1986224
WP_054196148.1	GCF_001298465.1	Campylobacter concisus	strain=ATCC 33237	199	199
WP_012001229.1	GCF_000017725.2	Campylobacter concisus 13826	strain=13826	360104	199
AFU42504.1	GCA_000302555.4	Campylobacter jejuni subsp. jejuni PT14	strain=PT14	1201032	197
ALW66409.1	GCA_001506325.1	Campylobacter jejuni	strain=CJ677CC010	197	197
YP_002343827.1	GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	192222	197
WP_011049672.1	GCF_000011865.1	Campylobacter jejuni RM1221	strain=RM1221	195099	197
WP_011732166.1	GCF_000015085.1	Campylobacter fetus subsp. fetus 82-40	strain=82-40	360106	196
WP_002854338.1	GCF_000015525.1	Campylobacter jejuni subsp. jejuni 81-176	strain=81-176	354242	197
WP_011991925.1	GCF_000017465.2	Campylobacter curvus 525.92	strain=525.92	360105	200
WP_011990609.1	GCF_000017485.1	Campylobacter jejuni subsp. doylei 269.97	strain=269.97	360109	197
WP_002877519.1	GCF_000017905.1	Campylobacter jejuni subsp. jejuni 81116	strain=81116; NCTC 11828	407148	197
WP_012661249.1	GCF_000019205.1	Campylobacter lari RM2100	strain=RM2100; ATCC BAA-1060D	306263	201
WP_014516696.1	GCF_000025425.1	Campylobacter jejuni subsp. jejuni IA3902		567106	197
WP_002877519.1	GCF_000148705.1	Campylobacter jejuni subsp. jejuni M1	strain=M1	645464	197
WP_002861148.1	GCF_000163975.1	Campylobacter jejuni subsp. jejuni 1336	strain=1336	683082	197
WP_002860277.1	GCF_000171795.2	Campylobacter jejuni subsp. jejuni CG8421	strain=CG8421	478547	197
WP_014517186.1	GCF_000184205.1	Campylobacter jejuni subsp. jejuni S3	strain=S3	718271	197
WP_002850157.1	GCF_000222425.1	Campylobacter fetus subsp. venerealis NCTC 10354	strain=NCTC 10354	983328	196
WP_014769999.1	GCF_000265295.1	Sulfurospirillum barnesii SES-3	strain=SES-3	760154	44674
WP_002889655.1	GCF_000302555.5	Campylobacter jejuni subsp. jejuni PT14	strain=PT14	1201032	197
WP_002858651.1	GCF_000304375.1	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	strain=NCTC 11168-BN148	1211776	197
WP_020836991.1	GCF_000430385.1	Campylobacter jejuni 32488	strain=32488	1338035	197
WP_002778326.1	GCF_000465235.1	Campylobacter coli CVM N29710	strain=CVM N29710	1273173	195
WP_002858651.1	GCF_000466065.2	Campylobacter jejuni subsp. jejuni 00-2538	strain=00-2538	1380768	197
WP_002858651.1	GCF_000466075.2	Campylobacter jejuni subsp. jejuni 00-2544	strain=00-2544	1383068	197
WP_002858651.1	GCF_000466105.2	Campylobacter jejuni subsp. jejuni 00-2426	strain=00-2426	1380767	197
WP_002858651.1	GCF_000468915.2	Campylobacter jejuni subsp. jejuni 00-2425	strain=00-2425	1357994	197
WP_020973744.1	GCF_000470055.1	Campylobacter coli 76339	strain=76339	1367491	195
WP_002877519.1	GCF_000493495.1	Campylobacter jejuni 4031	strain=4031	1347340	197
WP_002778326.1	GCF_000494775.1	Campylobacter coli 15-537360	strain=15-537360	1358410	195
WP_011732166.1	GCF_000512745.2	Campylobacter fetus subsp. venerealis cfvi03/293	strain=cfvi03/293	1273266	196
WP_002778326.1	GCF_000583755.1	Campylobacter coli RM1875	strain=RM1875	1183378	195
WP_002824784.1	GCF_000583775.1	Campylobacter coli RM4661	strain=RM4661	1183379	195
WP_002778326.1	GCF_000583795.1	Campylobacter coli RM5611	strain=RM5611	1183380	195
WP_002869752.1	GCF_000632435.1	Campylobacter jejuni subsp. jejuni R14	strain=R14	1295010	197
WP_038454858.1	GCF_000736415.1	Campylobacter iguaniorum	strain=1485E	1244531	1244531
WP_002877519.1	GCF_000737085.1	Campylobacter jejuni subsp. jejuni	strain=MTVDSCj20	32022	197
WP_038453947.1	GCF_000759485.1	Campylobacter fetus subsp. fetus 04/554	strain=04/554	1240980	196
WP_011732166.1	GCF_000759515.1	Campylobacter fetus subsp. venerealis 97/608	strain=97/608	1093099	196
WP_002873349.1	GCF_000772225.1	Campylobacter jejuni subsp. jejuni F38011	strain=F38011	1408176	197
WP_002858651.1	GCF_000807355.1	Campylobacter jejuni subsp. jejuni	strain=YH001	32022	197
WP_039362707.1	GCF_000814265.1	Campylobacter fetus subsp. testudinum	strain=pet-3	1507806	196
WP_039649485.1	GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927	strain=NCTC 12927	1031564	260714
WP_039668181.1	GCF_000816225.1	Campylobacter lari subsp. concheus LMG 11760	strain=LMG 11760	1031536	201
WP_039666782.1	GCF_000816245.1	Campylobacter sp. RM16704	strain=RM16704	1500960	1500960
WP_039663192.1	GCF_000816265.1	Campylobacter subantarcticus LMG 24374	strain=LMG 24374	1388751	497724
WP_043019532.1	GCF_000816305.1	Campylobacter subantarcticus LMG 24377	strain=LMG 24377	1388752	497724
WP_039665270.1	GCF_000816345.1	Campylobacter volucris LMG 24379	strain=LMG 24379	580033	1031542
WP_052243256.1	GCF_000816365.1	Campylobacter lari NCTC 11845	strain=NCTC 11845	1388749	201
WP_039628145.1	GCF_000816385.2	Campylobacter lari CCUG 22395	strain=CCUG 22395	1388750	201
WP_039617861.1	GCF_000816405.1	Campylobacter lari RM16701	strain=RM16701	1453989	201
WP_039641093.1	GCF_000816425.1	Campylobacter lari RM16712	strain=RM16712	1453988	201
WP_044598469.1	GCF_000816785.1	Campylobacter peloridis LMG 23910	strain=LMG 23910	1388753	488546
WP_002858651.1	GCF_000830775.1	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	strain=NCTC 11168-K12E5	1385720	197
WP_002858651.1	GCF_000830805.1	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	strain=NCTC 11168-Kf1	1385723	197
WP_002858651.1	GCF_000830825.1	Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	strain=NCTC 11168-mcK12E5	1385721	197
WP_002858651.1	GCF_000830845.1	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	strain=NCTC 11168-mfK12E5	1385722	197
WP_002858651.1	GCF_000830865.1	Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	strain=NCTC 11168-rNRC	1385724	197
WP_002912609.1	GCF_000835285.1	Campylobacter jejuni subsp. jejuni	strain=00-1597	32022	197
WP_002858651.1	GCF_000835305.1	Campylobacter jejuni subsp. jejuni	strain=00-6200	32022	197
WP_043012751.1	GCF_000835345.1	Campylobacter jejuni subsp. jejuni	strain=01-1512	32022	197
WP_043012751.1	GCF_000835365.1	Campylobacter jejuni subsp. jejuni	strain=00-0949	32022	197
WP_044305813.1	GCF_000934305.1	Campylobacter jejuni subsp. jejuni	strain=35925	32022	197
WP_002778326.1	GCF_000954195.1	Campylobacter coli	strain=FB1	195	195
WP_011732166.1	GCF_000967135.1	Campylobacter fetus subsp. venerealis str. 84-112	strain=84-112	688354	196
WP_047208095.1	GCF_001017575.1	Campylobacter lari	strain=Slaughter Beach	201	201
WP_002854338.1	GCF_001299565.1	Campylobacter jejuni subsp. jejuni	strain=RM3197	32022	197
WP_002854338.1	GCF_001299595.1	Campylobacter jejuni subsp. jejuni	strain=RM3196	32022	197
WP_060667281.1	GCF_001305715.1	Campylobacter coli	strain=BFR-CA-9557	195	195
WP_002858651.1	GCF_001314285.1	Campylobacter jejuni	strain=RM1285	197	197
WP_002877519.1	GCF_001412295.1	Campylobacter jejuni	strain=CJM1cam	197	197
WP_002778326.1	GCF_001417615.1	Campylobacter coli	strain=CO2-160	195	195
WP_060475507.1	GCF_001417635.1	Campylobacter coli	strain=HC2-48	195	195
WP_002778326.1	GCF_001417655.1	Campylobacter coli	strain=CF2-75	195	195
WP_002873349.1	GCF_001432345.1	Campylobacter jejuni	strain=T1-21	197	197
WP_002882721.1	GCF_001457695.1	Campylobacter jejuni	strain=NCTC11351	197	197
WP_038454858.1	GCF_001483985.1	Campylobacter iguaniorum	strain=2463D	1244531	1244531
WP_058909459.1	GCF_001484645.1	Campylobacter fetus subsp. testudinum Sp3	strain=SP3	1244529	196
WP_002933949.1	GCF_001506185.1	Campylobacter jejuni	strain=CJ677CC519	197	197
WP_002933949.1	GCF_001506205.1	Campylobacter jejuni	strain=CJ677CC002	197	197
WP_002933949.1	GCF_001506225.1	Campylobacter jejuni	strain=CJ677CC534	197	197
